Length,Time,Make Model,Power/Weight,Driver,Date,Notes
"20,832 m",5:19.546,Porsche 919 Hybrid EVO,"720 PS (530 kW; 710 hp) + 440 PS (324 kW; 434 hp) / 849 kg (1,872 lb) dry",Timo Bernhard,2018-06-29,Modified LMP1-h (Le Mans prototype).
"20,832 m",6:05.336,Volkswagen ID.R,"680 PS (500 kW; 671 hp) / <2,500 lb (1,134 kg)",Romain Dumas,2019-06-03,Average speed of 206.96 km/h. Electric vehicle lap record and lowest energy consumption at 24.7 kWh.
"20,832 m",6:22.091,Xiaomi SU7 Ultra Prototype,"1,548 PS (1,139 kW; 1,527 hp) / 1,900 kg (4,200 lb)",David Pittard,2025-04-01,Xiaomi conducted test. Peak speed 342 km/h. Slicks. Custom-built race car by Xiaomi.
"20,832 m",6:24.047,Lotus Evija X,"2,011 PS (1,479 kW; 1,983 hp)",Dirk Müller,2023-10-13,"One-off based on the production Lotus Evija with rear wing, new dampers, and other modifications. Damp track."
"20,600 m",6:40.33,Porsche 911 GT2 RS MR (991.2) by Manthey Racing,"700 PS (515 kW; 690 hp) / 1,470 kg (3,240 lb)",Lars Kern,2018-10-25,"Street-legal, Michelin Pilot Sport Cup 2 R, OEM ""Weissach Package"", OEM deletion of audio and communication system, KW Competition 3-way race suspension, larger wing and dive planes, Porsche Motorsport bucket seat and harness on driver's side. Porsche conducted test. 6:44.749 on the 20,832 m lap."
"20,600 m",6:43.22,McLaren P1 XP1 LM Prototype,"1,000 PS (735 kW; 986 hp)",Kenny Bräck,2017-04-27,Modified by Lanzante Motorsport to meet road regulations. Car was without front number plate and therefore not road legal during the run.
"20,832 m",6:45.90,NIO EP9,"1,360 PS (1,000 kW; 1,341 hp) / 1,735 kg (3,825 lb)",Peter Dumbreck,2017-05-12,NextEV-branded slicks.
"20,832 m",6:46.874,Xiaomi SU7 Ultra Prototype,"1,548 PS (1,139 kW; 1,527 hp) / 1,900 kg (4,200 lb)",David Pittard,2024-10-28,Xiaomi conducted test. Peak speed 324 km/h. 20% wet surface. Ambient temperature of 10 °C (50 °F). First and only lap tested. Slicks. Custom-built race car by Xiaomi.
"20,832 m",6:47.50,Pagani Zonda R,"750 PS (552 kW; 740 hp) / 1,070 kg (2,360 lb) Dry",Marc Basseng,2010-06-29,
"20,832 m",6:48.393,Ford Transit Supervan 4.2,"2,027 PS (1,491 kW; 1,999 hp)",Romain Dumas,2025-08-18,
"20,600 m",6:57.578,Subaru WRX STI Type RA NBR Special,600 bhp (447 kW; 608 PS),Richie Stanaway,2017-07-21,Custom-built race car by Prodrive.
"20,832 m",6:58.16,Ferrari 599XX,"730 PS (537 kW; 720 hp) / 1,345 kg (2,965 lb) Dry",Raffaele de Simone,2010-04-21,
"20,600 m",7:03.06,Dodge Viper ACR-X,"640 hp (477 kW; 649 PS) / 1,500 kg (3,300 lb) Dry",Lance Arnold,2012-02,
"20,832 m",7:05.12,NIO EP9,"1,360 PS (1,000 kW; 1,341 hp) / 1,735 kg (3,825 lb)",Peter Dumbreck,2016-10-14,
"20,600 m",7:08.679,Nissan GT-R Nismo,600 PS (441 kW; 592 hp),Michael Krumm,2013-09-30,"Nissan conducted test. 255/40RF-20 run-flat Dunlop SP Sport Maxx GT 600 DSST. Pre-production Nismo ""N Attack Package"" (including removal of rear seats, alterations of front seats, engine, powertrain, suspension, brakes, aerodynamic parts). six-point harness and carbon fibre bonnet gurney making the car not road legal."
"20,600 m",7:09.59,Porsche 911 GT3 RS MR (991.1) by Manthey Racing,"500 PS (368 kW; 493 hp) / 1,420 kg (3,130 lb)",Christian Gebhardt,2017,"Observed in Sport Auto (09/2017). Street-legal, Michelin Pilot Sport Cup 2 N0, magnesium wheels, KW Competition 3-way race suspension, 911 R diffusor."
"20,600 m",7:15.63,Porsche 911 GT2 (996) by Edo Competition,670 hp (500 kW),Patrick Simon,2005-08-04,Vehicle was tuned to produce 670 bhp and 880Nm Torque.
