Length,Time,Vehicle,Driver,Date,Notes
"20,832 m",6:29.090,Mercedes-AMG One,Maro Engel,2024-09-23,Official Nürburgring record attempt by Mercedes-AMG. Timing and vehicle condition verified by a notary. Michelin Pilot Sport Cup 2 R tyres. 6:24.03 on 20.6 km lap.
"20,832 m",6:43.300,Porsche 911 GT2 RS Manthey Performance Kit (991.2),Lars Kern,2021-06-14,"Official Nürburgring record attempt by Porsche. Timing and vehicle condition verified by a notary. Michelin Pilot Sport Cup 2 R tyres, OEM Manthey Performance Kit. 6:38.835 on the 20,600 m lap."
"20,832 m",6:48.047,Mercedes-AMG GT Black Series,Maro Engel,2020-11-04,"Official Nürburgring record attempt by Mercedes. Timing and vehicle condition verified by a notary. OEM Michelin Pilot Sport Cup 2 R MO tyres. 6:43.616 on the 20,600 lap. Damp track."
"20,832 m",6:49.275,Chevrolet Corvette ZR1X,Drew Cattell,2025-06,"General Motors conducted test, Carbon Fiber wheels with Michelin Cup 2R summer-only tires. US production spec but officially classified as Prototype/Pre-Production because ZR1X is not sold in Europe."
"20,832 m",6:49.328,Porsche 911 GT3 RS (992.1),Jörg Bergmeister,2022-10-05,"Porsche conducted test, full roll cage, Michelin Pilot Sport Cup 2 R tyres. 6:44.848 on the 20,600 m lap. Timing and vehicle condition verified by a notary."
"20,832 m",6:49.42,Lamborghini Aventador SVJ LP770-4 (2018),Marco Mapelli,2018-07-26,"Lamborghini conducted test, full roll cage, Pirelli P Zero Trofeo R. 6:44.97 on the 20,600 m lap."
"20,832 m",6:50.763,Chevrolet Corvette ZR1,Brian Wallace,2025-06,"General Motors conducted test, Carbon Fiber wheels with Michelin Cup 2R summer-only tires.US production spec but officially classified as Prototype/Pre-Production because ZR1 is not sold in Europe."
"20,832 m",6:51.45,Porsche 911 GT2 RS (991.2),Lars Kern,2017-09-20,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 'N2', OEM ""Weissach Package"", OEM deletion of audio and communication system, Porsche Motorsport bucket seat and harness on driver's side. 6:47.25 on the 20,600 m lap."
"20,832 m",6:52.072,Ford Mustang GTD,Dirk Müller,2025-05-01,"Full 20,832 m lap. 6:47.26 on the 20,600 m lap. Ford conducted test. Michelin Pilot Sport Cup 2 R tires."
"20,832 m",6:52.70,Radical SR8 LM,Michael Vergers,2009-08-19,"Dunlop Direzza DZ03 tyres. Production car status disputed, road legal version is available with British Single Vehicle Approval. Timed by Sport Auto. 6:48.28 on the 20,600 m lap."
"20,832 m",6:56.45,Lamborghini Huracán Performante LP640-4 (2017),Marco Mapelli,2016-10-05,"Lamborghini conducted test, full roll cage, Pirelli Trofeo R. 6:52.01 on the 20,600 m lap."
"20,600 m",6:52.54,Mercedes-AMG GT Black Series,Christian Gebhardt,2021-07-07,"Sport Auto (08/2021), Michelin Pilot Sport Cup 2 R MO1A."
"20,832 m",6:57.685,Ford Mustang GTD,Dirk Müller,2024-08-07,"Ford conducted test. Full 20,832 m lap. 6:53.26 on 20,600 m lap. Michelin Pilot Sport Cup 2 R tires."
"20,600 m",6:54.99,Porsche 911 GT3 RS (992.1),Christian Gebhardt,2022-10-19,"Sport Auto (06/2023), Michelin Pilot Sport Cup 2 R."
"20,600 m",6:55,Radical SR8,Michael Vergers,2005-09-28,"Dunlop Direzza DZ03 tyres. Track car, road legal version is available with British Single Vehicle Approval. Timed by Sport Auto."
"20,600 m",6:56.4,Porsche 911 GT3 RS (991.2),Kévin Estre,2018-04-16,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 R 'N0', OEM ""Weissach Package"", OEM deletion of audio and communication system, Porsche Motorsport bucket seat and harness on driver's side, witnessed by instructor and influencer Misha Charoudin."
"20,600 m",6:57,Porsche 918 Spyder,Marc Lieb,2013-09-04,"Porsche conducted test, observed by Sport Auto. ""Weissach Package"", Michelin Pilot Sport Cup 2 'N0'."
"20,600 m",6:58.28,"Porsche 911 GT2 RS (991.2, 2018, 3.8 TT, 700 PS)",Christian Gebhardt,2018-04-17,"Sport Auto (07/2018), Michelin Pilot Sport Cup 2 R."
"20,600 m",6:58.70,Ferrari 296 GTB,Christian Gebhardt,2023-06-07,"Sport Auto (07/2023), Assetto Fiorano Paket, Michelin Pilot Sport Cup 2 R."
"20,832 m",6:59.157,YANGWANG U9 Xtreme,Moritz Kranz,2025-08-22,Yangwang conducted test. GitiSport e·GTR² PRO semi-slick tires. Peak speed 350 km/h. The first vehicle in the electric super sports car class to break the seven-minute mark.
"20,600 m",6:59.42,"Porsche 911 GT3 Manthey Performance Kit (992.1, 2023, N/A 4.0, 510 PS)",Christian Gebhardt,2023-02-08,"Sport Auto (03/2023), Michelin Pilot Sport Cup 2 R."
,6:59.73,Lamborghini Aventador SuperVeloce LP750-4 (2015),Marco Mapelli,2015-05-18,"Lamborghini conducted test, full roll cage, Pirelli P Zero Corsa."
"20,832 m",6:59.927,"Porsche 911 GT3 (992.1, 2022)",Lars Kern,2020-09-15,"Porsche conducted test. Michelin Pilot Sport Cup 2 R. 6:55.34 on the 20,600 m lap."
"20,832 m",7:03.121,Porsche Cayman GT4 RS Manthey Performance Kit (982),Jörg Bergmeister,2023-07-13,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 R, OEM ""Manthey Performance Kit"". Ambient temperature of 18 °C (64 °F). The lap time was certified by a notary. 6:58.092 on the 20,600 m lap."
"20,600 m",7:00.03,Ferrari 488 Pista,Christian Gebhardt,2019-05-16,"Sport Auto (11/2019), Michelin Pilot Sport Cup 2 R K1."
"20,600 m",7:01.3,Dodge Viper ACR (2017),Lance David Arnold,2017-09-01,"OEM ""GTS-R Commemorative Edition"", ""Extreme Aero Package"", Kumho Ecsta V720 ACR. Privately funded and observed by Road & Track. Third attempt, testing ended by tyre failure resulting in crash."
,7:04.632,Mercedes-AMG GT R Pro,Maro Engel,2018-11,Mercedes-Benz conducted test (11/2018). Michelin Pilot Sport Cup 2 ZP. Ambient temperature of 12 °C (54 °F). Vehicle in accordance with regulations. Timed by wige SolutionS.
"20,600 m",7:04.74,"Porsche 911 GT3 (992.1, pre-facelift, 2021, N/A 4.0, 510 PS)",Christian Gebhardt,2021-05-05,"Sport Auto (06/2021), Michelin Pilot Sport Cup 2 R."
"20,832 m",7:04.957,Xiaomi SU7 Ultra,Vincent Radermecker,2025-04-01,Xiaomi conducted test. Peak speed 346 km/h. Fastest road legal four door on the Nürburgring
"20,832 m",7:05.298,Rimac Nevera,Martin Kodrić,2023-08-18,"Official Nürburgring record attempt by Rimac. Michelin Cup 2 R. Independent timing and series-production state verified by TÜV SÜD. 7:00.928 on the 20,600 m lap."
