Car,"Model
year",Propulsion,Time,"Limited
number",Noted specifications
Lucid Air Sapphire,2024,Electric,1.9,,Pirelli P Zero Trofeo RS Elect tires
Porsche Taycan Turbo GT,2025,Electric,1.898 s,—N/a,Pirelli P Zero Trofeo RS tires
Tesla Model S Plaid,2021,Electric,1.98 s,—N/a,
Ferrari SF90 Stradale,2021,Hybrid,2.0 s,—N/a,
Porsche 918 Spyder,2015,Hybrid,2.1 s,918,
Porsche 911 Turbo S Lightweight (992),2020,ICE,2.1 s,—N/a,Pirelli P Zero PZ4 tires
Lamborghini Revuelto,2024,Hybrid,2.2 s,—N/a,
Lamborghini Huracán Performante,2018,ICE,2.2 s,—N/a,
Bugatti Chiron Super Sport,2021,ICE,2.2 s,100-110,
Chevrolet Corvette (C8) ZR1,2025,ICE,2.2 s,—N/a,with ZTK package
Tesla Model S P100D,2017,Electric,2.28 s,—N/a,with Ludicrous+ Update
Tesla Model X Plaid,2021,Electric,2.3 s,—N/a,
Ferrari 296 GTB,2023,Hybrid,2.3 s,—N/a,
McLaren 750S,2024,ICE,2.3 s,,
Bugatti Veyron,2005,ICE,2.4 s,450,
Bugatti Chiron Sport,2017,ICE,2.4 s,60,
Porsche Taycan Turbo S,2020,Electric,2.4 s,—N/a,
Tesla Model S Performance w/Ludicrous Mode,2020,Electric,2.4 s,—N/a,with cheetah stance update
Mercedes-AMG GT63 S E Performance,2025,Hybrid,2.4 s,—N/a,
Nissan GT-R Nismo,2020,ICE,2.48 s,—N/a,
Porsche 911 Turbo S (991 and 991.2),2014,ICE,2.5 s,—N/a,
Lamborghini Huracán,2015,ICE,2.5 s,—N/a,
Porsche 911 GT2 RS (991),2018,ICE,2.5 s,—N/a,
McLaren 720S,2018,ICE,2.5 s,—N/a,
BMW M8 Competition,2019,ICE,2.5 s,—N/a,
Lamborghini Aventador SVJ,2019,ICE,2.5 s,963,
Chevrolet Corvette (C8) E-Ray,2024,Hybrid,2.5 s,—N/a,
Porsche 911 Turbo S (997),2011,ICE,2.6 s,—N/a,
Lamborghini Aventador SV,2015,ICE,2.6 s,600,
Tesla Model S P90D w/Ludicrous Speed Upgrade,2015,Electric,2.6 s,—N/a,
McLaren P1,2015,Hybrid,2.6 s,375,
Audi R8 V10 Plus,2017,ICE,2.6 s,—N/a,
Mercedes-AMG GT 63 S,2018,ICE,2.6 s,—N/a,
Dodge Challenger SRT Demon,2018,ICE,2.6 s,3300,1-seat
BMW M5 Competition,2019,ICE,2.6 s,—N/a,
BMW M5 CS,2020,ICE,2.6 s,1000,
Lamborghini Huracán STO,2021,ICE,2.6 s,—N/a,
Porsche Panamera Turbo S,2021,ICE,2.6 s,—N/a,
Lucid Air Dream Edition Performance,2022,Electric,2.6 s,520,
McLaren Artura,2023,Hybrid,2.6 s,—N/a,
Chevrolet Corvette (C8) Z06,2023,ICE,2.6 s,—N/a,with Z07 package
Rivian R1S (Quad Motor),2025,Electric,2.6 s,,
Mercedes-AMG S 63 E Performance,2025,Hybrid,2.6 s,—N/a,
Lamborghini Aventador,2012,ICE,2.7 s,—N/a,
McLaren 650S,2015,ICE,2.7 s,—N/a,
McLaren 570S,2017,ICE,2.7 s,—N/a,
Ferrari 488 Pista,2019,ICE,2.7 s,—N/a,
BMW M8 Competition Gran Coupe,2020,ICE,2.7 s,—N/a,
Porsche 911 GT3 (992),2021,ICE,2.7 s,—N/a,
Porsche Panamera Sport Turismo Turbo S E-Hybrid,2018,Hybrid,2.8 s,—N/a,
Ferrari 812 Superfast,2018,ICE,2.8 s,—N/a,
Mercedes-AMG E 63 S 4MATIC+,2018,ICE,2.8 s,—N/a,
Porsche 911 GT3 RS (991.2),2019,ICE,2.8 s,—N/a,
Porsche 911 Carrera 4S (992),2020,ICE,2.8 s,—N/a,
Chevrolet Corvette (C8) Stingray Z51,2020,ICE,2.8 s,—N/a,
Porsche 911 Carrera GTS and Carrera 4 GTS (992),2022,ICE,2.8 s,—N/a,
Porsche Cayenne Turbo GT,2022,ICE,2.8 s,—N/a,
BMW M3 Competition xDrive,2023,ICE,2.8 s,—N/a,
BMW M4 Competition xDrive,2023,ICE,2.8 s,—N/a,
McLaren 12C,2012,ICE,2.9 s,—N/a,
McLaren Senna,2019,ICE,2.9 s,500,
Porsche Taycan Turbo,2020,Electric,2.9 s,—N/a,
Porsche 911 Carrera S (992),2020,ICE,2.9 s,—N/a,
Mercedes-AMG GT Black Series,2021,ICE,2.9 s,1700,
Honda NSX Type S,2022,Hybrid,2.9 s,350,
Lamborghini Urus,2019,ICE,2.93 s,—N/a,
Tesla Model 3 Performance,2019,Electric,2.998 s,—N/a,with 2019 power increase update
