Vehicle,Year,Power,Type,Notes,Sources
Rimac Nevera R,2025,"1,550 kW (2,079 hp; 2,107 PS)",Electric,40 units planned,
Hennessey Venom F5,2021,"1,515 kW (2,032 hp; 2,060 PS)",Internal combustion,Max output for Venom F5 with Evolution package. 99 units planned.,
Lotus Evija,2023,"1,500 kW (2,012 hp; 2,039 PS)",Electric,130 units produced,
Aspark Owl,2020,"1,456 kW (1,953 hp; 1,980 PS)",Electric,,
Pininfarina Battista,2022,"1,417 kW (1,900 hp; 1,927 PS)",Electric,150 units planned,
Rimac Nevera,2022,"1,408 kW (1,888 hp; 1,914 PS)",Electric,50 units delivered out of 150 planned.,
SSC Tuatara,2020,"1,305 kW (1,750 hp; 1,774 PS)",Internal combustion,100 units planned,
Koenigsegg Jesko,2023,"1,177 kW (1,578 hp; 1,600 PS)",Internal combustion,125 units planned,
Bugatti Chiron Super Sport 300+/Centodieci,2021/2022,"1,177 kW (1,578 hp; 1,600 PS)",Internal combustion,30 Chiron Super Sport 300+ and 10 Centodieci units produced.,
Xiaomi SU7 Ultra,2025,"1,138 kW (1,526 hp; 1,547 PS)",Electric,,
Koenigsegg Regera,2016,"1,103 kW (1,479 hp; 1,500 PS)",Plug-in hybrid,80 units produced.,
Bugatti Chiron/Bugatti Divo,2016/2020,"1,103 kW (1,479 hp; 1,500 PS)",Internal combustion,"500 Chiron units planned, 40 Divo units produced.",
Czinger 21C,2021,"1,006 kW (1,349 hp; 1,368 PS)",Hybrid electric,80 units to be produced,
Koenigsegg One:1/Agera RS,2014/2015,"1,000 kW (1,341 hp; 1,360 PS)",Internal combustion,"Max output for Agera RS with 1 MW upgrade. 25 Agera RS, 7 One:1 unit produced.",
NIO EP9,2016,"1,000 kW (1,341 hp; 1,360 PS)",Electric,16 units produced. Up to 250 units planned for Evolution model.,
SSC Ultimate Aero TT,2009,"960 kW (1,287 hp; 1,305 PS)",Internal combustion,"Updated from 2007 TT model (882 kW (1,183 hp; 1,199 PS)). 24+ TT models produced.",
Yangwang U9/Yangwang U7,2024,"960 kW (1,287 hp; 1,305 PS)",Electric,,
Zeekr 001 FR,2023,"930 kW (1,247 hp; 1,264 PS)",Electric,99 units produced per month,
Hyptec SSR Ultimate/Aion Hyper SSR Ultimate,2023,"913 kW (1,225 hp; 1,242 PS)",Electric,,
Drako GTE,2020,"895 kW (1,200 hp; 1,217 PS)",Electric,25 units produced,
Lucid Air Sapphire,2023,"895 kW (1,200 hp; 1,217 PS)",Electric,250 units planned.,
Bugatti Veyron Super Sport/Grand Sport Vitesse,2010/2012,"882 kW (1,183 hp; 1,200 PS)",Internal combustion,140 units produced.,
Yangwang U8,2023,"880 kW (1,180 hp; 1,196 PS)",Plug-in hybrid,,
Zenvo TSR-S,2018,"878 kW (1,177 hp; 1,194 PS)",Internal combustion,5 units produced per year.,
Aston Martin Valkyrie,2022,"850 kW (1,140 hp; 1,156 PS)",Hybrid electric,150 units planned.,
Zenvo ST1,2009,"812 kW (1,089 hp; 1,104 PS)",Internal combustion,15 units produced.,
M-Hero 917 BEV,2023,"800 kW (1,073 hp; 1,088 PS)",Electric,1500 units per year planned for BEV and EREV (600 kW (805 hp; 816 PS)) versions combined.,
Aston Martin Valhalla,2021,"793 kW (1,064 hp; 1,079 PS)",Plug-in hybrid,Limited to 999 units.,
Chevrolet Corvette (C8) ZR1,2025,"793 kW (1,064 hp; 1,079 PS)",Internal combustion,,
Faraday Future FF 91,2023,"783 kW (1,050 hp; 1,065 PS)",Electric,300 units planned for Futurist Alliance model.,
Mercedes-AMG One,2022,"782 kW (1,049 hp; 1,063 PS)",Plug-in hybrid,"Most powerful Mercedes road car ever made, 275 units planned.",
McLaren Speedtail,2020,"772 kW (1,035 hp; 1,050 PS)",Hybrid electric,106 units planned.,
Dodge Challenger SRT Demon 170,2023,"764 kW (1,025 hp; 1,039 PS)",Internal combustion,3300 units planned,
Tesla Model S Plaid/Tesla Model X Plaid,2021/2022,"761 kW (1,020 hp; 1,034 PS)",Electric,,
Lamborghini Revuelto,2023,"746 kW (1,001 hp; 1,015 PS)",Plug-in hybrid,,
GMC Hummer EV Edition 1/EV3X,2022,"746 kW (1,000 hp; 1,014 PS)",Electric,,
Bugatti Veyron,2005,"736 kW (987 hp; 1,001 PS)",Internal combustion,Fastest road car in 2005,
Ferrari SF90 Stradale,2020,"735 kW (986 hp; 1,000 PS)",Plug-in hybrid,Up to 2000 units per year planned.,
Denza Z9/Z9 GT BEV,2024,710 kW (952 hp; 965 PS),Electric,,
LaFerrari,2013,708 kW (949 hp; 963 PS),Hybrid electric,710+ units produced.,
Koenigsegg Agera,2010,706 kW (947 hp; 960 PS),Internal combustion,7 units produced
McLaren P1,2013,674 kW (903 hp; 916 PS),Plug-in hybrid,375 units produced.,
Porsche 918 Spyder,2013,652 kW (874 hp; 886 PS),Plug-in hybrid,918 units produced.,
Tesla Cybertruck Cyberbeast,2024,630 kW (845 hp; 857 PS),Electric,,
Rivian R1T/Rivian R1S Quad-Motor,2021/2022,623 kW (835 hp; 847 PS),Electric,,
Mercedes-AMG GT 63 S E-Performance,2021,620 kW (831 hp; 843 PS),Plug-in hybrid,Most powerful AMG GT 4-door model,
Ferrari Daytona SP3,2023,618 kW (829 hp; 840 PS),Internal combustion,599 units to be produced.,
Lucid Gravity Grand Touring,2025,617 kW (828 hp; 839 PS),Electric,,
Pagani Huayra Imola,2020,617 kW (827 hp; 839 PS),Internal combustion,5 units planned.,
McLaren Sabre,2021,614 kW (824 hp; 835 PS),Internal combustion,"15 units will be produced in total, currently the most powerful non-hybrid McLaren model ever made"
Ferrari 296 GTB,2022,610 kW (819 hp; 830 PS),Plug-in hybrid,,
Ferrari 812 Competizione/Competizione A,2021,610 kW (819 hp; 830 PS),Internal combustion,999 Competizione and 599 Competizione A will be produced in total
Lamborghini Sián FKP 37,2020,602 kW (807 hp; 818 PS),Hybrid electric,63 units produced.,
Koenigsegg CCR/CCX,2004/2006,601 kW (806 hp; 817 PS),Internal combustion,14 CCR and 29 CCX units produced.,
Lamborghini Countach LPI 800-4,2022,599 kW (803 hp; 814 PS),Internal combustion,112 units to be produced.,
